asin,title,brand,category,price,cost,units_sold,rating,reviews_count
B100957,Headphones,Nike,Sports,475.71,257.92,14,4.8,0
B100958,Running Shoes,DeLonghi,Electronics,113.29,249.22,5,3.4,437
B100959,Laptop,Adidas,Sports,97.73,157.2,127,4.4,907
B100960,Fitness Tracker,DeLonghi,Toys,128.53,267.09,273,4.4,207
B100961,Wireless Mouse,Bose,Sports,280.4,39.24,338,3.9,13
B100962,Smartphone,DeLonghi,Electronics,465.85,259.18,211,1.8,221
B100963,Headphones,Sony,Books,291.2,244.38,327,1.6,243
B100964,Wireless Mouse,Adidas,Electronics,129.31,88.2,346,4.7,658
B100965,Running Shoes,Samsung,Electronics,225.82,328.19,217,2.1,274
B100966,Laptop,LogiTech,Toys,201.3,350.39,466,2.0,588
B100967,Bluetooth Speaker,Samsung,Health,32.82,88.14,428,1.7,107
B100968,Smartwatch,Canon,Home Appliances,260.21,35.0,79,3.1,329
B100969,Smartphone,DeLonghi,Electronics,71.74,243.41,93,3.7,622
B100970,Smartwatch,Nike,Toys,422.7,194.57,238,3.7,124
B100971,Wireless Mouse,Samsung,Books,278.99,173.9,234,2.0,92
B100972,Laptop,HP,Toys,423.86,305.6,177,1.4,411
B100973,Laptop,Bose,Beauty,478.46,388.02,255,2.2,972
B100974,Running Shoes,Samsung,Toys,472.16,193.68,321,3.0,236
B100975,Camera,Apple,Sports,59.21,7.43,132,3.4,759
B100976,Running Shoes,Adidas,Home Appliances,472.96,240.53,265,2.1,654
B100977,Camera,Bose,Home Appliances,399.92,263.32,292,1.7,208
B100978,Camera,Nike,Clothing,391.05,332.07,179,4.4,318
B100979,Smartphone,Canon,Health,54.16,83.77,378,4.4,22
B100980,Running Shoes,Samsung,Books,97.96,212.11,416,2.1,426
B100981,Bluetooth Speaker,Adidas,Clothing,487.83,181.62,344,3.2,9
B100982,Coffee Maker,LogiTech,Health,114.55,267.45,377,2.8,931
B100983,Coffee Maker,Adidas,Health,92.84,30.26,485,1.6,767
B100984,Running Shoes,Adidas,Toys,187.55,354.19,146,4.8,958
B100985,Running Shoes,Bose,Books,457.54,206.91,143,1.0,176
B100986,Smartwatch,LogiTech,Health,243.33,351.43,20,1.8,909
B100987,Smartphone,Adidas,Books,461.09,139.39,58,2.4,765
B100988,Running Shoes,Apple,Home Appliances,173.83,263.14,296,4.4,863
B100989,Smartwatch,Samsung,Home Appliances,121.0,382.91,66,4.2,289
B100990,Camera,Samsung,Home Appliances,252.65,377.63,345,3.3,606
B100991,Laptop,Apple,Electronics,311.58,377.92,397,3.8,806
B100992,Laptop,Samsung,Toys,201.83,21.96,475,2.4,927
B100993,Camera,Adidas,Beauty,179.55,164.19,13,4.8,79
B100994,Headphones,Canon,Books,116.85,29.01,62,1.1,729
B100995,Smartwatch,Adidas,Toys,144.75,127.24,412,1.4,720
B100996,Smartwatch,Bose,Health,339.83,73.96,46,4.7,405
B100997,Camera,HP,Books,191.24,249.95,399,4.8,99
B100998,Bluetooth Speaker,Canon,Books,49.08,313.39,93,3.0,418
B100999,Fitness Tracker,Nike,Clothing,77.7,207.77,469,3.3,22
B101000,Wireless Mouse,Nike,Books,192.47,319.21,428,4.6,792
B101001,Camera,Canon,Books,463.01,10.06,223,4.4,708
B101002,Running Shoes,Adidas,Sports,195.72,329.09,23,4.4,389
B101003,Running Shoes,DeLonghi,Beauty,39.71,75.45,357,2.5,246
B101004,Smartphone,HP,Sports,214.82,187.07,67,4.3,601
B101005,Camera,Apple,Clothing,337.72,179.82,114,1.3,764
B101006,Smartphone,Adidas,Electronics,300.86,349.9,483,2.9,955
B101007,Camera,Canon,Home Appliances,146.61,386.56,206,1.9,485
B101008,Smartwatch,DeLonghi,Health,347.16,105.77,66,1.1,517
B101009,Wireless Mouse,Adidas,Health,319.01,31.63,50,3.5,18
B101010,Smartwatch,DeLonghi,Beauty,94.36,261.96,141,1.3,490
B101011,Fitness Tracker,Canon,Books,89.45,203.62,258,1.5,786
B101012,Laptop,Adidas,Toys,278.12,228.45,460,1.3,109
B101013,Coffee Maker,LogiTech,Health,333.12,23.28,475,4.9,878
B101014,Camera,Samsung,Sports,481.34,311.25,34,1.2,606
B101015,Fitness Tracker,Canon,Home Appliances,216.75,96.78,296,2.1,996
B101016,Laptop,Nike,Electronics,384.82,137.3,253,3.6,598
B101017,Headphones,Nike,Home Appliances,67.1,95.2,69,4.3,395
B101018,Wireless Mouse,HP,Books,445.91,378.65,189,3.4,12
B101019,Smartphone,Sony,Beauty,320.22,71.65,153,4.9,341
B101020,Smartphone,Nike,Home Appliances,318.22,294.27,203,2.4,945
B101021,Smartwatch,Sony,Books,79.8,102.07,77,2.9,706
B101022,Running Shoes,LogiTech,Clothing,29.4,172.84,191,4.3,587
B101023,Laptop,Canon,Sports,353.71,398.44,28,3.7,740
B101024,Headphones,DeLonghi,Sports,67.36,44.73,213,1.9,158
B101025,Fitness Tracker,HP,Books,72.22,353.14,369,3.0,332
B101026,Wireless Mouse,Samsung,Toys,101.88,378.69,56,4.9,22
B101027,Laptop,Apple,Sports,57.9,280.8,112,4.5,716
B101028,Headphones,Sony,Beauty,316.44,8.94,243,1.8,837
B101029,Coffee Maker,Samsung,Toys,216.78,329.22,154,1.7,892
B101030,Camera,HP,Books,140.39,353.5,155,4.3,239
B101031,Smartphone,HP,Clothing,225.97,392.47,282,1.8,825
B101032,Fitness Tracker,Nike,Books,423.63,336.53,271,2.8,194
B101033,Smartphone,Samsung,Clothing,464.27,181.01,50,1.7,710
B101034,Fitness Tracker,Adidas,Health,248.86,277.02,390,1.1,137
B101035,Smartwatch,Bose,Sports,287.71,196.63,68,4.5,509
B101036,Running Shoes,HP,Beauty,136.03,144.44,132,4.1,222
B101037,Fitness Tracker,Sony,Toys,261.66,252.44,158,2.9,835
B101038,Smartphone,Apple,Beauty,376.58,309.08,333,1.6,427
B101039,Smartwatch,Apple,Books,251.15,256.18,265,4.2,837
B101040,Fitness Tracker,LogiTech,Health,158.02,331.5,170,2.4,849
B101041,Coffee Maker,LogiTech,Sports,295.2,74.67,270,3.6,454
B101042,Running Shoes,Nike,Beauty,473.86,152.61,220,2.3,993
B101043,Fitness Tracker,Adidas,Health,445.11,128.47,40,2.7,726
B101044,Smartwatch,Nike,Clothing,386.93,81.68,387,3.1,7
B101045,Laptop,Apple,Books,145.34,180.05,425,4.0,881
B101046,Bluetooth Speaker,DeLonghi,Health,128.36,379.41,477,4.3,215
B101047,Headphones,Apple,Beauty,420.88,217.51,289,2.8,283
B101048,Bluetooth Speaker,HP,Health,98.85,118.13,79,1.9,492
B101049,Bluetooth Speaker,Samsung,Clothing,306.75,144.85,239,1.6,438
B101050,Wireless Mouse,Samsung,Home Appliances,225.08,247.16,60,2.4,766
B101051,Coffee Maker,HP,Beauty,239.31,144.33,320,4.2,322
B101052,Laptop,HP,Clothing,232.73,217.65,318,2.1,716
B101053,Camera,Apple,Home Appliances,450.98,113.29,487,1.2,934
B101054,Fitness Tracker,Samsung,Sports,52.68,141.64,335,3.3,672
B101055,Headphones,Samsung,Books,393.62,283.76,391,1.1,625
B101056,Running Shoes,Canon,Health,419.16,235.92,237,4.5,756
B101057,Laptop,Samsung,Sports,472.01,41.93,76,3.7,847
B101058,Smartphone,HP,Electronics,231.77,389.41,306,2.0,714
B101059,Camera,LogiTech,Clothing,255.03,24.49,39,2.9,412
B101060,Wireless Mouse,Adidas,Sports,481.03,37.76,199,4.0,216
B101061,Wireless Mouse,DeLonghi,Sports,234.64,282.05,431,4.7,144
B101062,Laptop,HP,Health,256.74,284.67,105,4.5,932
B101063,Smartwatch,Samsung,Home Appliances,172.8,12.48,70,1.3,645
B101064,Bluetooth Speaker,Sony,Clothing,25.5,258.89,282,1.3,173
B101065,Smartphone,Apple,Home Appliances,222.2,18.14,58,3.4,269
B101066,Wireless Mouse,Apple,Books,330.99,384.5,329,3.0,978
B101067,Headphones,Adidas,Sports,348.07,279.98,179,2.2,676
B101068,Wireless Mouse,HP,Clothing,13.19,78.7,472,4.9,881
B101069,Running Shoes,Adidas,Sports,402.52,67.45,308,4.0,618
B101070,Fitness Tracker,LogiTech,Books,251.28,230.02,222,3.7,759
B101071,Wireless Mouse,Bose,Toys,265.17,255.24,144,1.7,843
B101072,Running Shoes,Nike,Books,481.25,333.34,304,2.1,850
B101073,Laptop,Sony,Home Appliances,149.39,361.81,27,3.4,852
B101074,Laptop,Nike,Home Appliances,383.21,160.05,161,4.2,28
B101075,Camera,Bose,Beauty,291.64,338.41,151,4.7,219
B101076,Wireless Mouse,Sony,Sports,353.39,219.24,173,3.8,720
B101077,Headphones,Nike,Home Appliances,214.73,190.88,211,2.7,500
B101078,Wireless Mouse,Sony,Clothing,146.81,281.09,356,3.8,48
B101079,Headphones,Adidas,Books,277.6,45.76,467,1.3,1
B101080,Coffee Maker,DeLonghi,Sports,193.72,109.83,22,3.4,709
B101081,Camera,Canon,Books,119.23,327.62,298,4.6,600
B101082,Coffee Maker,Sony,Books,421.23,204.11,365,3.5,722
B101083,Wireless Mouse,Bose,Sports,243.16,363.68,33,1.0,69
B101084,Camera,Adidas,Health,425.18,40.04,109,3.8,704
B101085,Coffee Maker,Canon,Toys,242.28,128.8,394,3.9,45
B101086,Bluetooth Speaker,Adidas,Beauty,282.83,145.44,47,3.2,62
B101087,Wireless Mouse,LogiTech,Health,497.69,171.97,96,4.3,630
B101088,Coffee Maker,Samsung,Home Appliances,476.24,394.79,125,1.8,737
B101089,Bluetooth Speaker,Apple,Electronics,143.13,127.71,335,2.6,852
B101090,Bluetooth Speaker,LogiTech,Beauty,435.64,209.88,295,4.2,916
B101091,Laptop,Bose,Health,201.3,216.75,378,3.4,491
B101092,Wireless Mouse,HP,Electronics,44.91,309.47,302,5.0,496
B101093,Bluetooth Speaker,HP,Electronics,292.13,209.56,328,1.3,26
B101094,Laptop,Apple,Home Appliances,488.76,244.27,307,2.0,190
B101095,Coffee Maker,Adidas,Toys,487.41,302.56,25,1.8,790
B101096,Running Shoes,DeLonghi,Books,71.97,44.95,82,4.9,227
B101097,Wireless Mouse,Bose,Sports,387.91,385.57,399,4.5,867
B101098,Camera,Apple,Toys,403.39,339.29,58,1.5,223
B101099,Headphones,Canon,Electronics,190.68,158.57,443,2.4,294
B101100,Headphones,Canon,Beauty,332.71,292.72,26,1.2,57
B101101,Coffee Maker,HP,Clothing,249.2,306.12,297,3.5,812
B101102,Smartwatch,Samsung,Home Appliances,121.67,340.85,44,2.3,720
B101103,Smartwatch,Adidas,Health,383.02,79.39,85,2.0,653
B101104,Coffee Maker,HP,Beauty,138.75,282.96,22,3.1,661
B101105,Bluetooth Speaker,DeLonghi,Home Appliances,176.82,18.17,366,4.2,528
B101106,Wireless Mouse,Apple,Health,103.11,50.65,226,2.6,924
B101107,Headphones,Sony,Sports,362.44,311.55,37,4.0,495
B101108,Headphones,DeLonghi,Clothing,234.77,326.14,374,2.8,751
B101109,Bluetooth Speaker,Sony,Books,227.25,239.01,101,1.9,37
B101110,Headphones,Adidas,Toys,306.24,234.77,142,2.8,857
B101111,Camera,Apple,Clothing,87.06,301.06,4,3.2,798
B101112,Wireless Mouse,Canon,Toys,450.1,362.9,24,2.8,97
B101113,Fitness Tracker,Canon,Toys,237.9,171.34,450,2.1,57
B101114,Headphones,LogiTech,Books,189.6,50.35,191,1.7,346
B101115,Coffee Maker,Canon,Books,72.08,336.4,321,4.8,528
B101116,Camera,Bose,Health,92.3,139.95,322,2.2,631
B101117,Headphones,LogiTech,Books,460.98,57.85,269,3.8,534
B101118,Camera,LogiTech,Sports,233.74,247.77,27,2.4,481
B101119,Laptop,Canon,Home Appliances,363.87,233.34,372,4.9,721
B101120,Fitness Tracker,HP,Electronics,49.45,192.33,81,5.0,212
B101121,Smartphone,Samsung,Books,325.3,344.62,121,4.3,147
B101122,Coffee Maker,Samsung,Home Appliances,461.54,112.53,365,3.3,95
B101123,Coffee Maker,Bose,Health,156.98,10.23,401,3.2,459
B101124,Wireless Mouse,Nike,Books,293.78,132.77,69,2.3,259
B101125,Camera,HP,Electronics,470.71,8.83,472,1.5,72
B101126,Bluetooth Speaker,Nike,Clothing,362.47,219.72,313,1.3,330
B101127,Coffee Maker,Sony,Beauty,40.54,154.41,72,2.9,48
B101128,Camera,HP,Books,195.58,326.51,246,4.9,221
B101129,Camera,Apple,Home Appliances,52.03,320.05,246,2.0,364
B101130,Running Shoes,Nike,Health,432.05,176.68,253,2.6,793
B101131,Running Shoes,Bose,Health,314.61,90.51,364,3.6,504
B101132,Smartphone,Bose,Beauty,478.63,171.86,73,2.4,31
B101133,Laptop,HP,Sports,19.68,258.32,274,1.0,539
B101134,Smartphone,LogiTech,Health,217.31,80.13,16,2.6,818
B101135,Headphones,Apple,Clothing,61.14,310.35,179,4.2,679
B101136,Bluetooth Speaker,Adidas,Health,181.74,135.57,352,4.8,36
B101137,Headphones,Apple,Health,89.32,373.21,40,2.1,745
B101138,Smartwatch,Bose,Clothing,171.11,207.19,39,4.7,178
B101139,Headphones,Sony,Beauty,411.44,339.61,56,4.5,56
B101140,Wireless Mouse,Nike,Beauty,88.74,248.28,373,2.6,744
B101141,Headphones,Nike,Clothing,242.1,224.07,233,1.0,335
B101142,Smartphone,Sony,Electronics,461.58,274.44,54,4.4,495
B101143,Coffee Maker,DeLonghi,Home Appliances,499.4,325.54,172,2.1,583
B101144,Coffee Maker,HP,Toys,132.81,259.58,302,4.0,194
B101145,Running Shoes,Bose,Health,468.43,319.91,416,3.3,2
B101146,Bluetooth Speaker,Samsung,Beauty,138.08,80.23,490,1.9,201
B101147,Bluetooth Speaker,Canon,Toys,212.63,114.62,432,3.6,190
B101148,Wireless Mouse,Sony,Toys,440.18,95.74,189,4.1,907
B101149,Smartphone,Sony,Sports,395.23,320.33,450,2.9,206
B101150,Running Shoes,Apple,Books,430.17,39.02,422,4.0,110
B101151,Smartwatch,HP,Health,402.13,319.37,43,2.6,346
B101152,Bluetooth Speaker,HP,Books,125.18,158.67,4,4.9,505
B101153,Coffee Maker,Samsung,Books,283.81,36.41,261,2.0,562
B101154,Headphones,Canon,Sports,198.77,172.65,485,4.1,749
B101155,Headphones,HP,Toys,235.26,123.7,369,4.0,906
B101156,Running Shoes,LogiTech,Clothing,85.44,238.82,58,3.1,133
B101157,Smartphone,Bose,Books,164.73,191.65,37,2.4,907
B101158,Smartphone,LogiTech,Beauty,430.25,122.23,410,2.8,977
B101159,Laptop,DeLonghi,Clothing,449.8,345.6,235,3.5,280
B101160,Fitness Tracker,Bose,Clothing,308.98,165.69,265,3.1,225
B101161,Bluetooth Speaker,Adidas,Sports,254.15,190.92,15,4.0,537
B101162,Smartphone,Bose,Beauty,359.29,339.42,88,2.4,215
B101163,Coffee Maker,Bose,Sports,308.34,40.18,472,1.4,953
B101164,Running Shoes,Samsung,Home Appliances,492.0,159.01,99,3.0,591
B101165,Smartwatch,LogiTech,Health,103.14,164.13,496,2.0,291
B101166,Laptop,Canon,Books,230.03,200.85,105,3.5,931
B101167,Camera,Apple,Toys,459.94,46.92,217,3.1,20
B101168,Wireless Mouse,Samsung,Electronics,458.22,45.55,410,4.1,221
B101169,Smartwatch,Bose,Beauty,252.72,169.48,191,3.3,560
B101170,Camera,Apple,Sports,76.06,18.05,215,2.7,339
B101171,Headphones,Nike,Clothing,409.33,105.72,198,1.5,373
B101172,Wireless Mouse,Apple,Home Appliances,296.73,84.46,105,1.5,571
B101173,Bluetooth Speaker,Sony,Electronics,388.85,198.31,27,3.6,873
B101174,Coffee Maker,Samsung,Sports,236.64,9.41,182,4.5,753
B101175,Wireless Mouse,Samsung,Home Appliances,109.9,271.91,83,2.7,445
B101176,Fitness Tracker,Sony,Clothing,21.75,342.96,159,3.1,378
B101177,Camera,Nike,Books,283.98,284.16,230,3.4,530
B101178,Bluetooth Speaker,HP,Health,88.91,328.14,235,2.9,394
B101179,Fitness Tracker,HP,Health,101.7,259.11,288,1.2,589
B101180,Headphones,HP,Home Appliances,223.79,205.41,386,3.4,355
B101181,Fitness Tracker,HP,Sports,226.62,91.51,18,1.5,975
B101182,Laptop,LogiTech,Health,144.45,115.45,284,3.2,642
B101183,Laptop,Sony,Health,74.64,130.49,71,4.1,440
B101184,Running Shoes,Nike,Books,473.03,20.02,215,1.0,213
B101185,Smartwatch,Bose,Clothing,74.5,365.67,117,2.7,127
B101186,Smartwatch,DeLonghi,Toys,181.88,360.62,100,4.0,511
B101187,Bluetooth Speaker,Samsung,Health,159.39,47.57,88,3.1,618
B101188,Headphones,Apple,Home Appliances,434.51,224.89,348,1.9,452
B101189,Smartphone,HP,Electronics,210.93,189.72,153,3.8,692
B101190,Laptop,Apple,Beauty,70.78,274.95,295,4.1,705
B101191,Bluetooth Speaker,DeLonghi,Clothing,15.03,243.19,177,2.5,907
B101192,Smartphone,Samsung,Books,363.76,54.11,132,2.2,317
B101193,Smartwatch,Adidas,Clothing,360.11,265.73,493,3.2,44
B101194,Running Shoes,Canon,Books,214.71,245.5,308,2.5,56
B101195,Fitness Tracker,Nike,Clothing,71.89,214.83,122,4.3,385
B101196,Laptop,LogiTech,Beauty,192.1,163.95,211,4.1,868
B101197,Bluetooth Speaker,Apple,Toys,299.04,382.19,68,2.2,182
B101198,Wireless Mouse,HP,Home Appliances,354.93,340.53,57,2.8,786
B101199,Smartphone,Sony,Electronics,48.34,236.11,13,4.6,316
B101200,Fitness Tracker,Apple,Health,282.59,7.52,193,1.6,407
B101201,Laptop,Samsung,Toys,145.3,175.69,63,4.0,516
B101202,Smartwatch,Adidas,Home Appliances,312.46,281.63,482,2.3,665
B101203,Headphones,Nike,Electronics,327.59,51.33,327,1.5,475
B101204,Smartphone,Sony,Clothing,456.2,165.59,153,1.5,930
B101205,Smartwatch,Canon,Beauty,211.09,80.73,23,2.1,18
B101206,Laptop,Samsung,Health,273.42,138.57,30,3.2,30
B101207,Smartphone,Adidas,Electronics,141.43,15.53,369,4.6,978
B101208,Fitness Tracker,Sony,Sports,150.41,55.06,189,2.2,490
B101209,Laptop,Canon,Electronics,32.56,184.63,391,1.8,939
B101210,Camera,Apple,Home Appliances,150.17,359.79,310,2.9,658
B101211,Bluetooth Speaker,Samsung,Toys,41.28,198.78,109,1.6,467
B101212,Fitness Tracker,Bose,Health,482.32,183.97,401,2.1,873
B101213,Smartphone,Canon,Toys,315.89,316.09,353,4.9,848
B101214,Headphones,Adidas,Health,94.84,110.79,60,3.2,395
B101215,Smartwatch,Bose,Sports,67.22,42.55,66,4.1,418
B101216,Wireless Mouse,Bose,Home Appliances,191.36,87.78,166,1.8,857
B101217,Smartwatch,LogiTech,Beauty,160.75,317.56,492,3.1,953
B101218,Smartphone,Adidas,Beauty,146.83,272.43,141,3.0,372
B101219,Smartwatch,Bose,Electronics,239.42,41.16,52,4.3,636
B101220,Bluetooth Speaker,Apple,Sports,457.31,268.5,180,1.1,327
B101221,Laptop,Samsung,Clothing,288.34,372.96,32,4.4,871
B101222,Wireless Mouse,Samsung,Books,265.4,22.76,214,1.3,536
B101223,Coffee Maker,Apple,Clothing,405.21,248.49,265,4.7,152
B101224,Smartphone,LogiTech,Home Appliances,11.97,154.77,17,1.6,748
B101225,Running Shoes,Nike,Sports,106.72,202.91,126,3.1,725
B101226,Coffee Maker,LogiTech,Toys,253.13,213.63,82,1.4,652
B101227,Smartwatch,Samsung,Sports,355.6,309.56,40,2.8,297
B101228,Smartphone,Nike,Books,247.66,225.02,104,2.2,142
B101229,Camera,LogiTech,Beauty,90.22,239.27,219,2.7,534
B101230,Running Shoes,Bose,Home Appliances,465.69,136.5,459,3.2,795
B101231,Wireless Mouse,Nike,Sports,171.05,54.75,182,2.8,111
B101232,Headphones,Samsung,Health,396.23,274.68,384,1.1,268
B101233,Camera,Apple,Clothing,446.79,5.19,438,4.5,95
B101234,Coffee Maker,HP,Electronics,179.76,134.84,156,1.4,330
B101235,Laptop,Bose,Clothing,424.2,91.13,456,4.9,171
B101236,Bluetooth Speaker,Bose,Home Appliances,358.28,158.47,178,4.4,461
B101237,Headphones,HP,Beauty,453.1,127.95,18,3.2,947
B101238,Camera,Canon,Sports,133.14,283.17,141,2.0,290
B101239,Laptop,DeLonghi,Beauty,466.33,107.78,161,1.3,814
B101240,Laptop,Sony,Clothing,42.0,226.5,399,3.7,234
B101241,Smartphone,Adidas,Sports,398.9,185.03,214,1.8,418
B101242,Camera,LogiTech,Clothing,223.48,321.42,422,3.9,305
B101243,Wireless Mouse,DeLonghi,Home Appliances,97.17,174.1,222,4.3,487
B101244,Smartwatch,LogiTech,Toys,48.91,346.23,262,5.0,86
B101245,Running Shoes,DeLonghi,Beauty,200.88,5.06,45,3.0,807
B101246,Running Shoes,Nike,Beauty,200.77,243.91,187,4.9,332
B101247,Coffee Maker,Apple,Clothing,122.68,8.87,354,1.6,709
B101248,Coffee Maker,Adidas,Electronics,115.6,287.0,375,4.3,732
B101249,Running Shoes,Adidas,Clothing,205.76,97.79,467,2.4,297
B101250,Wireless Mouse,LogiTech,Home Appliances,210.96,155.09,241,2.5,142
B101251,Bluetooth Speaker,HP,Clothing,226.76,155.27,225,2.1,59
B101252,Fitness Tracker,Nike,Electronics,435.69,339.34,334,1.7,825
B101253,Smartwatch,Canon,Health,309.51,45.33,48,2.8,964
B101254,Bluetooth Speaker,Adidas,Electronics,20.01,268.42,111,4.9,800
B101255,Smartphone,Sony,Home Appliances,264.36,392.6,425,2.3,935
B101256,Fitness Tracker,LogiTech,Sports,383.6,13.84,83,2.8,1
B101257,Fitness Tracker,Bose,Clothing,37.64,386.53,104,1.9,416
B101258,Camera,Sony,Toys,217.08,12.27,463,2.3,152
B101259,Wireless Mouse,Samsung,Electronics,231.09,337.25,74,1.2,253
B101260,Wireless Mouse,LogiTech,Health,477.47,384.69,55,4.8,570
B101261,Fitness Tracker,LogiTech,Electronics,243.09,397.25,317,3.0,922
B101262,Camera,Bose,Clothing,377.45,186.35,2,3.9,951
B101263,Smartwatch,Nike,Sports,158.42,347.45,242,3.1,762
B101264,Fitness Tracker,Bose,Beauty,391.86,53.32,372,4.1,367
B101265,Headphones,Adidas,Clothing,168.1,173.03,258,3.1,24
B101266,Coffee Maker,Apple,Beauty,220.71,126.65,469,3.8,132
B101267,Coffee Maker,LogiTech,Health,244.95,161.09,332,3.7,242
B101268,Bluetooth Speaker,Samsung,Health,463.92,282.28,10,3.1,61
B101269,Smartphone,HP,Home Appliances,36.19,39.55,76,1.9,426
B101270,Coffee Maker,LogiTech,Toys,106.46,399.27,423,1.8,615
B101271,Laptop,Bose,Clothing,355.81,255.85,258,4.5,451
B101272,Bluetooth Speaker,DeLonghi,Electronics,293.01,350.04,121,1.5,77
B101273,Coffee Maker,LogiTech,Electronics,133.25,332.73,321,3.2,720
B101274,Smartphone,LogiTech,Home Appliances,151.71,307.57,450,3.0,104
B101275,Wireless Mouse,Samsung,Sports,189.98,20.49,215,4.2,602
B101276,Wireless Mouse,Samsung,Clothing,230.67,209.0,476,1.5,675
B101277,Smartwatch,LogiTech,Books,410.83,134.62,245,3.7,379
B101278,Fitness Tracker,DeLonghi,Sports,16.77,49.61,337,3.4,865
B101279,Headphones,Apple,Electronics,450.03,140.48,180,3.8,393
B101280,Wireless Mouse,Canon,Health,212.38,259.7,488,3.5,114
B101281,Camera,DeLonghi,Clothing,122.94,96.1,341,3.3,661
B101282,Coffee Maker,DeLonghi,Health,259.12,180.62,300,4.7,744
B101283,Camera,DeLonghi,Electronics,333.24,164.78,290,2.4,597
B101284,Smartphone,Apple,Toys,31.93,25.72,73,1.7,539
B101285,Wireless Mouse,Nike,Sports,360.73,253.09,209,4.2,47
B101286,Headphones,Nike,Books,382.77,249.44,241,1.5,187
B101287,Smartphone,DeLonghi,Toys,91.43,386.73,362,3.7,595
B101288,Laptop,Canon,Books,92.26,122.71,173,3.2,574
B101289,Laptop,Bose,Toys,109.85,170.49,416,1.0,513
B101290,Camera,Sony,Sports,400.35,164.44,5,2.0,790
B101291,Fitness Tracker,Nike,Electronics,143.28,368.3,462,3.0,50
B101292,Bluetooth Speaker,HP,Books,400.01,166.42,366,2.3,225
B101293,Fitness Tracker,Samsung,Beauty,274.86,179.89,495,2.7,367
B101294,Smartwatch,Apple,Sports,385.91,104.68,217,3.4,79
B101295,Fitness Tracker,Apple,Books,281.3,5.46,214,3.9,923
B101296,Smartwatch,Sony,Beauty,174.53,48.63,447,1.6,757
B101297,Smartwatch,Nike,Sports,456.25,283.04,325,2.1,205
B101298,Headphones,Canon,Toys,360.49,274.59,310,3.5,627
B101299,Wireless Mouse,Canon,Sports,247.19,132.4,38,3.4,768
B101300,Headphones,Samsung,Toys,322.34,191.84,393,3.9,398
B101301,Smartwatch,DeLonghi,Electronics,311.76,122.46,61,3.6,526
B101302,Smartphone,Bose,Toys,185.48,293.71,95,2.3,216
B101303,Laptop,Nike,Home Appliances,217.65,337.79,233,3.0,42
B101304,Smartwatch,Canon,Electronics,165.95,360.15,277,4.5,900
B101305,Headphones,Sony,Health,499.76,73.68,36,1.7,455
B101306,Smartphone,Samsung,Health,294.23,279.53,1,2.5,981
B101307,Headphones,LogiTech,Health,55.11,385.39,150,4.4,614
B101308,Fitness Tracker,Samsung,Clothing,264.36,261.99,471,2.5,892
B101309,Coffee Maker,Canon,Beauty,34.48,143.63,215,2.6,293
B101310,Camera,LogiTech,Clothing,151.44,256.2,399,2.3,574
B101311,Bluetooth Speaker,HP,Sports,228.52,276.93,46,4.6,742
B101312,Headphones,Adidas,Sports,271.79,161.83,65,3.7,498
B101313,Bluetooth Speaker,Samsung,Beauty,488.33,46.08,6,1.8,237
B101314,Running Shoes,Sony,Home Appliances,491.29,244.63,424,4.0,938
B101315,Headphones,Sony,Sports,58.05,321.85,419,1.2,306
B101316,Coffee Maker,Bose,Electronics,273.69,399.04,81,2.6,761
B101317,Bluetooth Speaker,DeLonghi,Electronics,410.38,93.11,189,4.6,589
B101318,Smartwatch,Samsung,Health,126.48,281.65,151,3.8,594
B101319,Headphones,Canon,Toys,377.78,16.08,148,4.2,153
B101320,Wireless Mouse,Adidas,Books,440.52,388.08,28,4.7,741
B101321,Camera,Nike,Sports,334.62,9.96,165,4.1,96
B101322,Coffee Maker,Canon,Home Appliances,170.57,146.72,466,1.4,173
B101323,Bluetooth Speaker,Sony,Health,462.33,35.18,135,1.9,651
B101324,Coffee Maker,HP,Beauty,442.92,250.28,254,3.0,92
B101325,Smartphone,Canon,Clothing,360.75,139.1,305,1.1,651
B101326,Camera,Apple,Beauty,188.2,294.51,495,3.5,28
B101327,Smartwatch,Sony,Electronics,398.03,197.12,212,3.6,872
B101328,Headphones,Samsung,Electronics,164.89,170.66,280,3.8,60
B101329,Headphones,HP,Electronics,133.95,142.66,80,3.2,40
B101330,Headphones,Apple,Books,262.36,39.02,269,2.8,493
B101331,Camera,LogiTech,Books,498.6,85.91,348,4.4,659
B101332,Wireless Mouse,Adidas,Sports,404.12,257.45,391,4.1,993
B101333,Running Shoes,Sony,Clothing,367.6,201.22,15,3.4,813
B101334,Laptop,Samsung,Home Appliances,231.49,32.69,87,1.2,758
B101335,Fitness Tracker,Apple,Books,162.86,219.86,407,3.8,669
B101336,Bluetooth Speaker,Apple,Beauty,429.39,26.39,380,3.2,988
B101337,Wireless Mouse,DeLonghi,Toys,288.19,207.13,223,3.8,294
B101338,Smartwatch,Apple,Books,408.49,386.16,325,2.2,757
B101339,Bluetooth Speaker,Adidas,Electronics,249.0,126.4,91,4.1,295
B101340,Headphones,HP,Beauty,379.44,290.78,492,2.7,178
B101341,Coffee Maker,HP,Home Appliances,435.19,299.49,316,4.6,257
B101342,Smartwatch,Apple,Sports,201.78,164.92,266,1.4,729
B101343,Bluetooth Speaker,Samsung,Books,16.65,239.35,307,2.9,448
